year,sd_nm,sd_cd,sgg_nm_kr,sgg_cd,sgg_nm_en,tot,men,women
2015,chungnam,34,금산군,34310,buyeo,"54,252","27,162","27,090"
2015,chungnam,34,부여군,34330,seocheon,"67,337","33,368","33,969"
2015,chungnam,34,서천군,34340,cheongyang,"53,278","26,147","27,131"
2015,chungnam,34,청양군,34350,hongseong,"31,001","15,499","15,502"
2015,chungnam,34,홍성군,34360,yesan,"91,971","45,869","46,102"
2015,chungnam,34,예산군,34370,taean,"79,512","39,737","39,775"
2015,chungnam,34,태안군,34380,dangjin,"58,349","29,386","28,963"
2015,jeonbuk,35,전주시완산구,35011,jeonju wansan,"364,315","179,099","185,216"
2015,jeonbuk,35,전주시덕진구,35012,jeonju deokjin,"287,224","143,431","143,793"
2015,jeonbuk,35,군산시,35020,gunsan,"268,723","137,195","131,528"
2015,jeonbuk,35,익산시,35030,iksan,"296,968","149,160","147,808"
2015,jeonbuk,35,정읍시,35040,jeongeup,"107,988","53,290","54,698"
2015,jeonbuk,35,남원시,35050,namwon,"79,439","38,923","40,516"
2015,jeonbuk,35,김제시,35060,gimje,"82,136","40,446","41,690"
2015,jeonbuk,35,완주군,35310,wanju,"92,883","47,527","45,356"
2015,jeonbuk,35,진안군,35320,jinan,"22,557","11,042","11,515"
2015,jeonbuk,35,무주군,35330,muju,"23,146","11,422","11,724"
2015,jeonbuk,35,장수군,35340,jangsu,"21,168","10,425","10,743"
2015,jeonbuk,35,임실군,35350,imsil,"25,568","12,625","12,943"
2015,jeonbuk,35,순창군,35360,sunchang,"26,309","12,614","13,695"
2015,jeonbuk,35,고창군,35370,gochang,"54,621","26,921","27,700"
2015,jeonbuk,35,부안군,35380,buan,"51,139","25,188","25,951"
2015,jeonnam,36,목포시,36010,mokpo,"236,328","118,711","117,617"
2015,jeonnam,36,여수시,36020,yeosu,"269,352","136,598","132,754"
2015,jeonnam,36,순천시,36030,suncheon,"263,383","131,450","131,933"
2015,jeonnam,36,나주시,36040,naju,"90,087","44,768","45,319"
2015,jeonnam,36,광양시,36060,gwangyang,"142,711","73,315","69,396"
2015,jeonnam,36,담양군,36310,damyang,"42,532","20,893","21,639"
2015,jeonnam,36,곡성군,36320,gokseong,"28,151","13,528","14,623"
2015,jeonnam,36,구례군,36330,gurye,"24,339","11,807","12,532"
2015,jeonnam,36,고흥군,36350,goheung,"61,551","29,515","32,036"
2015,jeonnam,36,보성군,36360,boseong,"40,218","19,308","20,910"
2015,jeonnam,36,화순군,36370,hwasun,"60,367","29,120","31,247"
2015,jeonnam,36,장흥군,36380,jangheung,"36,326","17,608","18,718"
2015,jeonnam,36,강진군,36390,gangjin,"34,669","16,549","18,120"
2015,jeonnam,36,해남군,36400,haenam,"67,727","33,033","34,694"
2015,jeonnam,36,영암군,36410,yeongam,"55,277","28,360","26,917"
2015,jeonnam,36,무안군,36420,muan,"78,773","39,553","39,220"
2015,jeonnam,36,함평군,36430,hampyeong,"30,685","15,014","15,671"
2015,jeonnam,36,영광군,36440,yeonggwang,"50,173","24,833","25,340"
2015,jeonnam,36,장성군,36450,jangseong,"40,792","20,161","20,631"
2015,jeonnam,36,완도군,36460,wando,"46,960","23,511","23,449"
2015,jeonnam,36,진도군,36470,jindo,"28,614","13,947","14,667"
2015,jeonnam,36,신안군,36480,sinan,"35,418","18,278","17,140"
2015,gyeonbuk,37,포항시남구,37011,pohang nam,"240,370","124,175","116,195"
2015,gyeonbuk,37,포항시북구,37012,pohang buk,"265,575","131,778","133,797"
2015,gyeonbuk,37,경주시,37020,gyeongju,"251,192","125,470","125,722"
2015,gyeonbuk,37,김천시,37030,gimcheon,"135,373","67,259","68,114"
2015,gyeonbuk,37,안동시,37040,andong,"167,081","82,488","84,593"
2015,gyeonbuk,37,구미시,37050,gumi,"414,110","212,692","201,418"
2015,gyeonbuk,37,영주시,37060,yeongju,"108,327","54,321","54,006"
2015,gyeonbuk,37,영천시,37070,yeongcheon,"94,214","47,001","47,213"
2015,gyeonbuk,37,상주시,37080,sangju,"97,737","47,910","49,827"
2015,gyeonbuk,37,문경시,37090,mungyeong,"71,104","34,824","36,280"
2015,gyeonbuk,37,경산시,37100,gyeongsan,"270,028","135,161","134,867"
2015,gyeonbuk,37,군위군,37310,gunwi,"21,329","10,499","10,830"
2015,gyeonbuk,37,의성군,37320,uiseong,"50,115","24,019","26,096"
2015,gyeonbuk,37,청송군,37330,cheongsong,"24,402","12,029","12,373"
2015,gyeonbuk,37,영양군,37340,yeongyang,"16,551","7,992","8,559"
2015,gyeonbuk,37,영덕군,37350,yeongdeok,"35,675","16,807","18,868"
2015,gyeonbuk,37,청도군,37360,cheongdo,"40,543","19,298","21,245"
2015,gyeonbuk,37,고령군,37370,goryeong,"31,929","15,898","16,031"
2015,gyeonbuk,37,성주군,37380,seongju,"39,363","19,679","19,684"
2015,gyeonbuk,37,칠곡군,37390,chilgok,"117,569","60,309","57,260"
2015,gyeonbuk,37,예천군,37400,yecheon,"42,181","20,579","21,602"
2015,gyeonbuk,37,봉화군,37410,bonghwa,"31,307","15,442","15,865"
2015,gyeonbuk,37,울진군,37420,uljin,"48,042","23,961","24,081"
2015,gyeonbuk,37,울릉군,37430,ulleung,"8,612","4,605","4,007"
2015,gyeongnam,38,진주시,38030,jinju,"344,864","171,560","173,304"
2015,gyeongnam,38,통영시,38050,tongyeong,"132,118","66,785","65,333"
2015,gyeongnam,38,사천시,38060,sacheon,"109,743","55,065","54,678"
2015,gyeongnam,38,김해시,38070,gimhae,"512,517","258,359","254,158"
2015,gyeongnam,38,밀양시,38080,miryang,"100,756","49,083","51,673"
2015,gyeongnam,38,거제시,38090,geoje,"248,977","133,314","115,663"
2015,gyeongnam,38,양산시,38100,yangsan,"290,619","145,561","145,058"
2015,gyeongnam,38,창원시의창구,38111,uichang,"250,656","127,891","122,765"
2015,gyeongnam,38,창원시성산구,38112,seongsan,"229,637","118,492","111,145"
2015,gyeongnam,38,창원시마산합포구,38113,masanhappo,"176,472","87,896","88,576"
2015,gyeongnam,38,창원시마산회원구,38114,masanhoewon,"205,920","103,869","102,051"
2015,gyeongnam,38,창원시진해구,38115,jinhae,"177,025","90,435","86,590"
2015,gyeongnam,38,의령군,38310,uiryeong,"26,152","12,399","13,753"
